ID Produk,Nama Produk,Brand,Kategori,Subkategori,Deskripsi Teks (Untuk Embeddings),Harga (Untuk Filter Metadata),URL Produk (Tautan Pembelian),url_gambar
PROD-012,Tas Carrier Patagonia 65L Include Raincover,Patagonia,Equipment/Backpack,Tas Carrier,"Produk Tas Carrier Patagonia 65L Include Raincover dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi load-lifter strap untuk menyeimbangkan berat tas, sternum strap dengan peluit darurat, serta sudah termasuk rain cover waterproof terintegrasi di kantong bawah. Didesain khusus untuk mendistribusikan berat secara proporsional ke pinggul, sehingga mengurangi ketegangan dan rasa pegal berlebih pada pundak Anda. Produk original dari Patagonia ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",1690000,https://www.outdoorgear.id/produk/tas-carrier-patagonia-65l-include-raincover-prod-012,https://tse3.mm.bing.net/th/id/OIP.bTV3gftzM-mG5apjw6SEFwHaHa?pid=Api&P=0&h=180
PROD-013,Kompor Portable Marmot Lipat Ultralight Titanium,Marmot,Equipment/Cooking,Kompor Portable,"Produk Kompor Portable Marmot Lipat Ultralight Titanium dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menampilkan desain berbahan stainless steel dan copper core berkekuatan tinggi yang tahan korosi dan panas ekstrem, dilengkapi dengan katup penyesuai tekanan gas yang sangat presisi. Sangat direkomendasikan untuk kegiatan outdoor berkelompok maupun solo camping, serta berguna sebagai kit darurat bencana di rumah. Sebagai salah satu rilisan unggulan, Marmot berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",116000,https://www.outdoorgear.id/produk/kompor-portable-marmot-lipat-ultralight-titanium-prod-013,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-014,Sepatu Gunung Eiger Anti-Slip Suede Leather,Eiger,Footwear/Outdoor,Sepatu Gunung,"Produk Sepatu Gunung Eiger Anti-Slip Suede Leather dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dibuat dari kombinasi Cordura heavy-duty dan teknologi outsole Vibram berkontur kasar yang dirancang khusus untuk cengkeraman maksimal pada medan berbatu, tanah gembur, maupun jalur licin pasca hujan deras. Sangat ideal bagi pendaki pemula maupun profesional yang mencari proteksi engkel optimal guna mencegah cedera terkilir saat membawa beban ransel berat. Produk original dari Eiger ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",441000,https://www.outdoorgear.id/produk/sepatu-gunung-eiger-anti-slip-suede-leather-prod-014,https://img.freepik.com/premium-vector/footwear-logo_603271-253.jpg?w=2000
PROD-015,Celana Jack Wolfskin Stretch Cargo,Jack Wolfskin,Apparel/Outdoor,Celana,"Produk Celana Jack Wolfskin Stretch Cargo dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Terbuat dari kain Stretch Nylon Quick-dry yang melar ke 4 arah, memberikan kebebasan bergerak tanpa batas saat mendaki tebing atau melewati jalur curam. Kemampuannya yang sangat cepat kering membuatnya sangat handal digunakan melintasi area basah atau saat harus kehujanan di tengah jalur. Produk original dari Jack Wolfskin ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",195000,https://www.outdoorgear.id/produk/celana-jack-wolfskin-stretch-cargo-prod-015,https://tse4.mm.bing.net/th/id/OIP.E41BiSIoDLDAlaKvsdMHyAHaHa?pid=Api&P=0&h=180
PROD-016,Kompor Portable Patagonia Gas Kaleng Mini Spider,Patagonia,Equipment/Cooking,Kompor Portable,"Produk Kompor Portable Patagonia Gas Kaleng Mini Spider dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menampilkan desain berbahan stainless steel dan copper core berkekuatan tinggi yang tahan korosi dan panas ekstrem, dilengkapi dengan katup penyesuai tekanan gas yang sangat presisi. Ukurannya yang ringkas (ultralight gear) menjadikannya favorit para penganut gaya mendaki ultralight backpacking yang sangat memikirkan efisiensi berat barang. Produk original dari Patagonia ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",101000,https://www.outdoorgear.id/produk/kompor-portable-patagonia-gas-kaleng-mini-spider-prod-016,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-017,Tracking Pole Deuter Flip Lock Antishock,Deuter,Equipment/Outdoor,Tracking Pole,"Produk Tracking Pole Deuter Flip Lock Antishock dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Terbuat dari Aluminium Alloy 7075 dengan sistem pengunci tuas (Flip Lock) yang sangat cepat disetel jalurnya meski Anda sedang mengenakan sarung tangan tebal. Alat bantu esensial bagi pendaki yang menempuh jalur panjang guna menghemat energi otot kaki dan membagi kerja tumpuan ke otot tangan secara efisien. Dengan memilih perlengkapan dari Deuter, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",284000,https://www.outdoorgear.id/produk/tracking-pole-deuter-flip-lock-antishock-prod-017,https://www.amazon.com/images/I/71oy4F9yrLL._AC_SL1500_._FMwebp_.jpg
PROD-018,Matras Marmot Folding Egg crate Alumunium Foil,Marmot,Equipment/Camping,Matras,"Produk Matras Marmot Folding Egg crate Alumunium Foil dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Didesain dengan pola permukaan bergelombang (egg-crate pattern) ergonomis yang mendistribusikan tekanan tubuh secara merata untuk kualitas tidur camping yang lebih nyenyak. Alat vital untuk memutus konduksi dingin dari tanah ke tubuh, menjaga suhu badan tetap stabil saat Anda tidur di dalam tenda pada malam hari. Dengan memilih perlengkapan dari Marmot, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",100000,https://www.outdoorgear.id/produk/matras-marmot-folding-egg-crate-alumunium-foil-prod-018,https://tse2.mm.bing.net/th/id/OIP.8jxZVTMW1CbEPKi4Z9zDTgHaHa?pid=Api&P=0&h=180
PROD-019,Matras Eiger Spons Alumunium Foil,Eiger,Equipment/Camping,Matras,"Produk Matras Eiger Spons Alumunium Foil dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Didesain dengan pola permukaan bergelombang (egg-crate pattern) ergonomis yang mendistribusikan tekanan tubuh secara merata untuk kualitas tidur camping yang lebih nyenyak. Fungsional, serbaguna, dan tahan lama, matras ini juga dapat digelar untuk kebutuhan yoga, piknik santai, atau alas duduk darurat di alam terbuka. Produk original dari Eiger ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",40000,https://www.outdoorgear.id/produk/matras-eiger-spons-alumunium-foil-prod-019,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/11/4/fe8cfdb3-ee45-43d3-a330-ff0d057fbd36.jpg
PROD-020,Pisau Lipat Patagonia Multi-tool Pocket Size,Patagonia,Equipment/Tools,Pisau Lipat,"Produk Pisau Lipat Patagonia Multi-tool Pocket Size dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi sistem penguncian bilah mekanis (Liner Lock) yang sangat aman untuk mencegah pisau terlipat sendiri saat digunakan memotong kayu atau tali webbing tebal. Alat serbaguna (*survival tool*) wajib punya yang sangat membantu dalam memotong tali, meraut kayu bakar, membuka kaleng makanan, hingga mempersiapkan bahan masakan. Dengan memilih perlengkapan dari Patagonia, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",153000,https://www.outdoorgear.id/produk/pisau-lipat-patagonia-multi-tool-pocket-size-prod-020,https://tse3.mm.bing.net/th/id/OIP.z6YaAG9rdLJAMBv_B0z3LAHaHa?pid=Api&P=0&h=180
PROD-021,Celana Jack Wolfskin Water-repellent Cargo,Jack Wolfskin,Apparel/Outdoor,Celana,"Produk Celana Jack Wolfskin Water-repellent Cargo dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi teknologi water repellent (cipratan air tidak langsung merembes) dan fitur konvertibel (bisa diubah menjadi celana pendek menggunakan ritsleting lutut). Desain taktis yang stylish memberikan tampilan gagah sekaligus menawarkan fungsi fungsionalitas tingkat tinggi yang dicari para petualang sejati. Dengan memilih perlengkapan dari Jack Wolfskin, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",366000,https://www.outdoorgear.id/produk/celana-jack-wolfskin-water-repellent-cargo-prod-021,https://download.logo.wine/logo/Columbia_Sportswear/Columbia_Sportswear-Logo.wine.png
PROD-022,Sleeping Bag Consina Mumi Polar,Consina,Equipment/Camping,Sleeping Bag,Produk Sleeping Bag Consina Mumi Polar dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Didesain dalam potongan model kepompong (mummy style) dilengkapi penutup kepala terintegrasi dengan tali serut untuk meminimalkan hilangnya panas tubuh lewat kepala. Dilengkapi dengan kantong kompresi khusus sehingga ukurannya bisa diperkecil secara signifikan saat dimasukkan ke dalam tas ransel. Produk original dari Consina ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.,334000,https://www.outdoorgear.id/produk/sleeping-bag-consina-mumi-polar-prod-022,https://down-id.img.susercontent.com/file/id-11134207-7r98x-lzr2870uyp7ka1
PROD-023,Tas Carrier Columbia 45L Include Raincover,Columbia,Equipment/Backpack,Tas Carrier,"Produk Tas Carrier Columbia 45L Include Raincover dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi load-lifter strap untuk menyeimbangkan berat tas, sternum strap dengan peluit darurat, serta sudah termasuk rain cover waterproof terintegrasi di kantong bawah. Pilihan mutlak bagi pendaki yang melakukan perjalanan ekspedisi mandiri selama 3 sampai 5 hari di alam bebas untuk membawa seluruh logistik utama. Produk original dari Columbia ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",635000,https://www.outdoorgear.id/produk/tas-carrier-columbia-45l-include-raincover-prod-023,https://down-id.img.susercontent.com/file/id-11134201-23030-9p7x9p3bmsovfc
PROD-024,Celana Quechua Water-repellent Tactical,Quechua,Apparel/Outdoor,Celana,"Produk Celana Quechua Water-repellent Tactical dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Memiliki jahitan ganda yang diperkuat di area selangkangan dan lutut (reinforced panels) serta saku kargo beritsleting yang aman untuk menyimpan kompas atau ponsel. Sangat direkomendasikan untuk pendakian teknis yang membutuhkan banyak gerakan fisik berat seperti melewati semak belukar atau memanjat tebing berbatu. Sebagai salah satu rilisan unggulan, Quechua berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",389000,https://www.outdoorgear.id/produk/celana-quechua-water-repellent-tactical-prod-024,https://contents.mediadecathlon.com/p2294472/b5d7e2360415b8a077480bbe214c41889eb9865397babb3b5e886705f7844dff/sh-500-x-warm-hiking-water-repellent-pants-men.jpg
PROD-025,Hammock Quechua Kapasitas 200kg Parasut Sutra,Quechua,Equipment/Camping,Hammock,"Produk Hammock Quechua Kapasitas 200kg Parasut Sutra dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dibuat dari kain Parasut Sutra (High-Grade Nylon Parachute) berukuran luas yang dijahit dengan triple-stitch nylon thread untuk menjamin kekuatan menahan beban hingga 200 kg. Sempurna untuk melengkapi kenyamanan waktu santai Anda saat beristirahat di sela-sela pendakian gunung, piknik di hutan pinus, atau sekadar bersantai di pantai. Produk original dari Quechua ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",206000,https://www.outdoorgear.id/produk/hammock-quechua-kapasitas-200kg-parasut-sutra-prod-025,https://trekkinghouseperu.pe/wp-content/uploads/2024/03/Sin-titulo-84-6.jpg
PROD-026,Topi Rimba Arei UV Protection Bucket Style,Arei,Apparel/Outdoor,Topi Rimba,"Produk Topi Rimba Arei UV Protection Bucket Style dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan kain polyester quick-dry yang memiliki sirkulasi udara optimal berkat ventilasi mesh tersembunyi di bagian samping, menjaga kepala tetap sejuk selama trekking siang hari. Sangat praktis dibawa karena bahannya yang mudah dilipat tanpa merusak bentuk asli, pas dimasukkan ke saku celana atau kompartemen tas kecil. Sebagai salah satu rilisan unggulan, Arei berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",71000,https://www.outdoorgear.id/produk/topi-rimba-arei-uv-protection-bucket-style-prod-026,https://down-id.img.susercontent.com/file/id-11134207-7r991-lm8ie3iy90ac50
PROD-027,CooKing Set Osprey Ringkas 2-3 orang Anodized Hard,Osprey,Equipment/Cooking,CooKing Set,Produk CooKing Set Osprey Ringkas 2-3 orang Anodized Hard dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Gagang panci dilapisi plastik silikon pelindung panas (insulasi termal) yang dapat dilipat menempel ke badan panci saat tidak digunakan. Sangat direkomendasikan bagi para koki camp site yang gemar mengeksplorasi berbagai menu makanan hangat di tengah hutan atau puncak gunung. Produk original dari Osprey ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.,270000,https://www.outdoorgear.id/produk/cooking-set-osprey-ringkas-2-3-orang-anodized-hard-prod-027,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-028,Kompor Portable Eiger Lipat Gas Kaleng,Eiger,Equipment/Cooking,Kompor Portable,Produk Kompor Portable Eiger Lipat Gas Kaleng dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi pipa pre-heating dan pemantik piezo-elektrik otomatis yang memudahkan penyalaan api bahkan dalam kondisi angin kencang atau suhu dingin pegunungan. Ukurannya yang ringkas (ultralight gear) menjadikannya favorit para penganut gaya mendaki ultralight backpacking yang sangat memikirkan efisiensi berat barang. Produk original dari Eiger ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.,231000,https://www.outdoorgear.id/produk/kompor-portable-eiger-lipat-gas-kaleng-prod-028,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-029,Headlamp Eiger LED Cree Waterproof IPX4,Eiger,Equipment/Lighting,Headlamp,"Produk Headlamp Eiger LED Cree Waterproof IPX4 dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Ikat kepala elastisnya menggunakan bahan breathable yang menyerap keringat dan dapat diatur kemiringannya hingga 60 derajat untuk mengarahkan fokus pandangan kaki. Sangat andal digunakan untuk kegiatan caving (susur gua), night running, montir darurat kendaraan di malam hari, hingga persiapan mati lampu di rumah. Dengan memilih perlengkapan dari Eiger, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",63000,https://www.outdoorgear.id/produk/headlamp-eiger-led-cree-waterproof-ipx4-prod-029,https://i5.walmartimages.com/seo/Adult-LED-Rechargeable-Headlamp-LED-Headlamps-Torch-90-Adjustable-4-Modes-IPX5-Waterproof-USB-Headlamp-Camping-Running-Hunting-Cycling_e4b07274-da5e-4ad7-80d1-942a8e6e28ca.ed648eabeb04909f288a94846c7952eb.jpeg
PROD-030,Jaket Rey Windbreaker Fleece,Rey,Apparel/Outdoor,Jaket,"Produk Jaket Rey Windbreaker Fleece dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi hoodie yang dapat disesuaikan dengan tali serut elastis, saku dalam tersembunyi untuk gadget, serta lapisan fleece lembut di bagian kerah untuk kenyamanan leher. Desainnya yang trendi membuat jaket ini tetap cocok digunakan untuk aktivitas kasual sehari-hari maupun nongkrong di malam hari tanpa kehilangan fungsi teknisnya. Produk original dari Rey ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",898000,https://www.outdoorgear.id/produk/jaket-rey-windbreaker-fleece-prod-030,https://cf.shopee.co.id/file/73847283436dc282ac637fcc03f1e074
PROD-031,Tenda Marmot Double Layer Kapasitas 2 Orang,Marmot,Equipment/Camping,Tenda,"Produk Tenda Marmot Double Layer Kapasitas 2 Orang dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi teras depan (vestibule) yang luas untuk memasak saat hujan, jendela ventilasi mesh anti-nyamuk B3, dan kantong penyimpanan barang di bagian dalam. Kemudahan instalasinya (user-friendly setup) membuat tenda ini dapat didirikan dengan cepat dalam waktu kurang dari 10 menit oleh dua orang. Produk original dari Marmot ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",1951000,https://www.outdoorgear.id/produk/tenda-marmot-double-layer-kapasitas-2-orang-prod-031,https://http2.mlstatic.com/D_NQ_NP_949719-CBT76154165207_052024-O-tenda-marmot-crane-creek-2p-tenda-marmot-para-duas-pesso.webp
